ID,question,answer,options,correct_option,path,condition,label,modifications
603,"A 58-year-old male presents with a solitary pulmonary nodule (SPN) discovered incidentally on a chest CT scan. The nodule is less than 3 cm in diameter, completely surrounded by lung parenchyma, and without associated lymphadenopathy. Previous chest imaging from 3 years ago shows the nodule to be stable. What is the most appropriate next step in management?",No further follow-up is necessary,"['CT-guided transthoracic needle aspiration', 'Repeat CT chest at 3, 6, 9, 12, and 24 months', 'No further follow-up is necessary', 'Positron emission tomography (PET) scan', 'Thoracic surgery referral for VATS/thoracotomy']",C,"Patient with solitary pulmonary nodule -> Lesion <3 cm surrounded by lung parenchyma in absence of other abnormalities -> Previous chest imaging available, demonstrating stability for >2 years? -> Thoracic surgery referral for VATS/thoracotomy",solitary pulmonary nodule,1,change the correct answer from E to C 
604,"A 55-year-old male smoker presents with a newly discovered 2 cm solitary pulmonary nodule on a routine chest X-ray. A prior chest CT scan from 3 years ago is available, but the quality is poor and does not allow for comparison. After high-resolution CT scan, the lesion does not have fat or cartilage. Given these findings, what is the MOST appropriate next step in management?",Positron emission tomography (PET) scan,"['Clinical and radiographic follow-up', 'Repeat CT scan in 4–6 weeks after antibiotic therapy', 'Thoracic surgery referral for VATS/thoracotomy', 'Positron emission tomography (PET) scan', 'Sputum cytology']",D,"Patient with solitary pulmonary nodule -> Lesion <3 cm surrounded by lung parenchyma in absence of other abnormalities -> Previous chest imaging available, demonstrating stability for >2 years? -> Consider less invasive diagnosis/treatment (see text) -> Risk assessment for malignancy based on patient and radiologic characteristics -> Moderate risk -> Additional testing: PET, Transthoracic needle aspiration, Bronchoscopy -> No diagnosis -> Benefits of surgery outweigh risks of resection? -> Thoracic surgery referral for VATS/thoracotomy",solitary pulmonary nodule,1,change the correct answer from C to D
605,"A 52-year-old kidney transplant recipient, who is 2 months post-transplant, presents with a fever of 38.5°C, malaise and is being evaluated for possible infection. What is the MOST appropriate next step in evaluating the cause of his fever, considering the common causes and timeline post-transplant?",Order a complete blood count and comprehensive metabolic panel.,"['Assess for noninfective causes, such as allograft rejection or drug reactions, after excluding infections.', 'Prescribe acetaminophen and monitor the fever.', 'Immediately perform a tissue biopsy of the transplanted kidney.', 'Order a complete blood count and comprehensive metabolic panel.', 'Start broad-spectrum antibiotics empirically.']",D,"FEVER in TRANSPLANT PATIENT -> Obvious noninfective cause (allograft thrombosis, allergic reaction to Thymoglobulin, etc.)? -> Appropriate treatment",fever in the transplant recipient,1,change the correct answer from A to D
606,"A 58-year-old male is found unresponsive at home and brought to the emergency department. After initial stabilization, what is the MOST appropriate next step in evaluating the cause of his coma?",Perform neuroimaging to rule out structural lesions.,"['Administer naloxone to rule out opioid overdose.', 'Perform a detailed neurologic examination, including assessment of cranial nerves and reflexes.', 'Perform a lumbar puncture to rule out meningitis.', 'Administer thiamine and glucose to address possible metabolic causes.', 'Perform neuroimaging to rule out structural lesions.']",E,Patient in COMA -> Stabilize patient -> Neurologic examination Assess depth of coma -> Sign or history of trauma -> Neuroimaging,coma,0,no changes 
607,"A 58-year-old male with a history of hypertension is brought to the emergency department unresponsive. On examination, he has no apparent signs of trauma, and his neurological examination reveals no focal deficits. After initial stabilization, what is the MOST appropriate next step in management?",Order a CT scan of the head to rule out structural lesions.,"['Administer naloxone to rule out opioid overdose.', 'Initiate treatment for possible status epilepticus while awaiting EEG results.', 'Perform a lumbar puncture to rule out meningitis.', 'Administer intravenous glucose and thiamine.', 'Order a CT scan of the head to rule out structural lesions.']",E,Patient in COMA -> Stabilize patient -> Neurologic examination Assess depth of coma -> No sign or history of trauma -> Nonfocal -> Possible toxic-metabolic etiologies -> Consider: Status epilepticus -> Treat,coma,1,change the correct answer from B to E
608,"A 58-year-old male is brought to the emergency department in a comatose state. After initial stabilization, a neurological examination reveals no signs of trauma but does indicate focal deficits. What is the MOST appropriate next step in management, assuming other potential causes like hypoglycemia have been ruled out?",Obtain a CT scan of the head to rule out structural lesions.,"['Administer naloxone to rule out opioid overdose.', 'Obtain a CT scan of the head to rule out structural lesions.', 'Initiate treatment for status epilepticus.', 'Monitor the patient closely for signs of improvement or deterioration.', 'Perform a lumbar puncture to rule out meningitis.']",B,Patient in COMA -> Stabilize patient -> Neurologic examination Assess depth of coma -> No sign or history of trauma -> Focal -> Findings compatible with dysfunction at defined level of neuraxis -> Consider: Status epilepticus -> Treat,coma,1 - 0,"change the correct answer from C to B, if the path isn't considered. "
609,"A 58-year-old male is brought to the emergency department in a comatose state with no signs of trauma. Initial assessment reveals no focal neurological deficits. After stabilization and initial blood work, what is the MOST appropriate next step in management?",Obtain a CT scan of the head to rule out structural lesions.,"['Administer a dose of naloxone.', 'Perform a lumbar puncture to rule out subarachnoid hemorrhage or meningitis.', 'Administer intravenous glucose and thiamine.', 'Obtain a CT scan of the head to rule out structural lesions.', 'Order an EEG to rule out non-convulsive status epilepticus.']",D,Patient in COMA -> Stabilize patient -> Neurologic examination Assess depth of coma -> No sign or history of trauma -> Nonfocal -> Possible toxic-metabolic etiologies -> Consider: Status epilepticus -> Lumbar Puncture,coma,1,change the correct answer from B to D
610,"A 58-year-old male is brought to the emergency department in a comatose state, with no apparent history of trauma. Initial neurological examination reveals focal deficits. What is the next appropriate step in management after considering and ruling out status epilepticus?",Perform immediate CT scan of the head,"['Administer naloxone', 'Administer intravenous glucose', 'Perform immediate CT scan of the head', 'Lumbar puncture', 'Administer thiamine']",C,Patient in COMA -> Stabilize patient -> Neurologic examination Assess depth of coma -> No sign or history of trauma -> Focal -> Findings compatible with dysfunction at defined level of neuraxis -> Consider: Status epilepticus -> Lumbar Puncture,coma,1,change the correct answer from D to C
611,"A 58-year-old male is brought to the emergency department in a comatose state with no known history of trauma. Initial assessment reveals stable vital signs, and a neurological exam shows no focal deficits. What is the MOST appropriate next step in evaluating the cause of his coma?",Administer naloxone empirically.,"['Obtain an EEG to evaluate for nonconvulsive status epilepticus.', 'Order immediate CT scan of the head.', 'Check ammonia level.', 'Perform a lumbar puncture to rule out meningitis.', 'Administer naloxone empirically.']",E,Patient in COMA -> Stabilize patient -> Neurologic examination Assess depth of coma -> No sign or history of trauma -> Nonfocal -> Possible toxic-metabolic etiologies -> Consider: Status epilepticus -> EEG,coma,1,change the correct answer from A to E
612,"A 58-year-old male is brought to the emergency department in a comatose state, with no signs of trauma. Initial assessment reveals no focal neurological deficits. After initial stabilization, what is the MOST appropriate next step in evaluating the cause of his coma?",Order a CT scan of the head to rule out structural lesions.,"['Administer naloxone to rule out opioid overdose.', 'Perform a lumbar puncture to rule out meningitis.', 'Check blood glucose levels to rule out hypoglycemia.', 'Order a CT scan of the head to rule out structural lesions.', 'Obtain an EEG to rule out non-convulsive status epilepticus.']",D,Patient in COMA -> Stabilize patient -> Neurologic examination Assess depth of coma -> No sign or history of trauma -> Focal -> Findings compatible with dysfunction at defined level of neuraxis -> Consider: Status epilepticus -> EEG,coma,1,change the correct answer from E to D
613,"A 58-year-old male with a history of epilepsy is brought to the emergency department in a comatose state. There is no evidence of trauma, and the initial neurological examination reveals a nonfocal pattern. What is the MOST appropriate next step in management, considering possible toxic-metabolic etiologies?",Check anticonvulsant levels,"['Obtain a CT scan of the head', 'Administer intravenous glucose', 'Administer naloxone', 'Check anticonvulsant levels', 'Perform a lumbar puncture']",D,Patient in COMA -> Stabilize patient -> Neurologic examination Assess depth of coma -> No sign or history of trauma -> Nonfocal -> Possible toxic-metabolic etiologies -> Consider: Status epilepticus -> Check anticonvulsant levels,coma,0,no changes
614,"A 58-year-old male is brought to the emergency department in a comatose state, with no signs of trauma. Initial assessment reveals no obvious focal neurological deficits. After initial stabilization, what is the MOST appropriate next step in management, considering the possibility of non-convulsive status epilepticus?",Check anticonvulsant levels,"['Check anticonvulsant levels', 'Administer intravenous antibiotics', 'Obtain a CT scan of the head', 'Administer naloxone', 'Perform a lumbar puncture']",A,Patient in COMA -> Stabilize patient -> Neurologic examination Assess depth of coma -> No sign or history of trauma -> Focal -> Findings compatible with dysfunction at defined level of neuraxis -> Consider: Status epilepticus -> Check anticonvulsant levels,coma,0,no changes
615,A 55-year-old woman reports experiencing dry eyes and dry mouth for the past few months. She mentions that it's somewhat bothersome but doesn't significantly impact her daily life. She denies difficulty swallowing dry foods or any history of dental problems. What is the probability of her having Sjögren's syndrome?,Low probability,"['Very high probability', 'Cannot be determined without further testing', 'Low probability', 'High probability', 'Moderate probability']",C,Patient with DRY EYES AND DRY MOUTH -> Low probability for Sjögren's syndrome,dry eyes and dry mouth,0,no changes
616,"A 28-year-old woman, who is currently using oral contraceptives, presents to her gynecologist complaining of irregular spotting between her periods. She reports no pain or other associated symptoms. Her gynecologist takes a detailed patient history, performs a physical examination and Pap smear, and determines that the source of the bleeding is uterine. Given her contraceptive use and the presence of breakthrough bleeding, which of the following is the MOST appropriate next step in managing her abnormal vaginal bleeding?",Hormonal therapy,"['Hormonal therapy', 'Observation without intervention', 'Discontinuation of oral contraceptives', 'Endometrial biopsy', 'Transvaginal ultrasound']",A,Patient with ABNORMAL VAGINAL BLEEDING -> Take patient history -> Perform physical examination and Pap smear -> Determine source of bleeding -> Source of bleeding is uterine -> Patient is premenopausal or perimenarchal -> Determine contraceptive practice -> Patient is using oral contraceptive -> Breakthrough bleeding is present -> Hormonal therapy,abnormal vaginal bleeding,0,no changes
617,"A 28-year-old woman, sexually active and using oral contraceptives, presents to your office complaining of intermittent spotting between periods for the past 3 months. She reports no pain, fever, or other symptoms. Physical examination, including pelvic exam and Pap smear, is normal. What is the MOST appropriate next step in management?",Reassurance and observation,"['Reassurance and observation', 'Discontinue oral contraceptives and switch to a non-hormonal method', 'Transvaginal ultrasound', 'Endometrial biopsy', 'Hormonal therapy']",A,Patient with ABNORMAL VAGINAL BLEEDING -> Take patient history -> Perform physical examination and Pap smear -> Determine source of bleeding -> Source of bleeding is uterine -> Patient is perimenopausal -> Patient is less than 40 years old -> Determine contraceptive practice -> Patient is using oral contraceptive -> Breakthrough bleeding is present -> Hormonal therapy,abnormal vaginal bleeding,1,change the correct answer from E to A
618,"A 48-year-old perimenopausal woman presents with a history of abnormal uterine bleeding. An endometrial biopsy reveals hyperplasia without atypia. According to the guidelines, what is the most appropriate next step in management?",Initiate high-dose progestin therapy,"['Order a pelvic MRI', 'Initiate high-dose progestin therapy', 'Prescribe oral contraceptive pills', 'Repeat endometrial biopsy in 3 months', 'Perform a hysterectomy']",B,Patient with ABNORMAL VAGINAL BLEEDING -> Take patient history -> Perform physical examination and Pap smear -> Determine source of bleeding -> Source of bleeding is uterine -> Patient is perimenopausal -> Patient is greater than 40 years old -> Consider Ultrasound or Hysteroscopy -> Perform Endometrial Biopsy (EMB) or Hysteroscopy -> EMB/Hysteroscopy is positive -> Hyperplasia with or without atypia is found -> Repeat EMB in 3 months,abnormal vaginal bleeding,1, change the correct answer from D to B 
